spk_id,log_f0_rmse,stft_l2_dist,vuv_error
14,0.099,0.886,8
16,0.105,0.896,10
17,0.189,0.946,17
19,0.096,0.992,9
22,0.082,0.861,10
26,0.104,0.852,12
27,0.11,0.85,12
28,0.101,0.855,9
30,0.058,0.847,8
32,0.098,0.888,9
38,0.073,0.864,11
39,0.072,0.902,9
40,0.069,0.87,9
54,0.08,0.926,10
55,0.091,0.823,11
56,0.076,0.915,10
60,0.148,0.912,16
61,0.078,0.902,15
64,0.099,0.922,7
70,0.075,0.813,8
78,0.11,0.819,14
79,0.106,0.857,9
81,0.076,0.839,10
83,0.097,0.848,8
84,0.084,0.877,7
87,0.091,0.827,6
89,0.103,0.89,9
90,0.103,0.894,11
93,0.089,0.87,10
98,0.084,0.868,8
100,0.072,0.882,8
101,0.118,0.866,12
103,0.09,1.088,9
112,0.097,0.886,8
114,0.057,0.908,8
115,0.075,0.894,8
118,0.112,0.847,9
119,0.123,0.871,14
121,0.078,0.858,9
122,0.078,0.865,11
125,0.104,0.917,10
126,0.11,0.87,10
150,0.111,0.895,10
154,0.088,0.906,16
157,0.091,0.962,12
159,0.1,0.882,12
163,0.07,0.816,10
166,0.091,0.884,8
174,0.093,0.895,10
175,0.065,0.937,9
176,0.072,0.795,10
188,0.088,0.877,10
192,0.091,0.887,11
196,0.113,0.82,10
198,0.102,0.895,9
200,0.091,0.847,9
201,0.12,0.797,9
203,0.1,0.88,10
204,0.133,0.84,11
205,0.089,0.831,9
207,0.12,0.871,9
208,0.089,0.916,8
209,0.095,0.844,9
210,0.116,0.989,16
211,0.054,0.975,10
216,0.087,0.825,12
217,0.097,0.918,11
224,0.055,0.911,8
225,0.129,0.827,9
226,0.056,0.885,9
227,0.1,0.896,8
229,0.098,0.854,10
231,0.094,0.87,8
233,0.121,0.785,8
237,0.094,0.865,8
240,0.087,0.843,10
242,0.085,0.844,7
246,0.093,0.859,9
248,0.076,1.929,11
249,0.128,0.831,9
250,0.102,0.906,10
251,0.119,0.868,9
254,0.086,0.892,11
258,0.1 d,0.847,10
260,0.097,0.886,13
272,0.076,0.852,11
274,0.096,0.86,11
278,0.079,0.896,10
288,0.068,0.874,8
289,0.058,0.935,12
296,0.137,0.818,11
298,0.093,0.837,7
302,0.092,0.88,8
303,0.122,0.814,10
307,0.069,0.89,9
311,0.132,0.863,15
318,0.102,0.871,9
322,0.082,0.916,9
323,0.097,0.987,10
329,0.112,0.816,10
332,0.109,0.815,11
335,0.104,0.841,9
337,0.091,0.887,9
339,0.099,0.902,11
340,0.09,0.868,10
345,0.114,0.941,11
353,0.118,0.856,10
359,0.073,0.854,10
362,0.094,0.962,9
369,0.103,0.86,10
373,0.089,0.924,9
374,0.111,0.866,9
380,0.124,0.916,12
398,0.138,0.8,10
403,0.099,0.881,8
405,0.103,0.793,10
408,0.067,0.97,10
409,0.115,0.792,9
